ID,iTree Common Name,iTree Botantical Name,iTree#,iTree Text,DBH,Address,CONDITION,MAINTPRIM,DEFECT,OHUTIL,SEWERVENT,WATERGAS,GSLENGTH,GSWIDTH,NOTES,Planted Date,Site Usage,Quadrant,Management Designation,In the CEJA?,LATITUDE,LONGITUDE,Native or Cultivated,Native Locale,Size Category,Shape or Form,Height (ft),Spread (ft),Growth Rate,Invasiveness,Wildlife,Leaf Description,Fall Color,Bark Color and Texture,Flower Description,Flower Color,Flower Fragrance,"Fruit, Nut, and Seed Descriptions",Plant Care,"Disease, Pests, and Problems",Shape or Form,OPAL Overall,OPAL F,OPAL M,CARE-S Allergy Potential,CARE-S Pollen Transport Mechanisms,CARE-S Pollen Production Amounts,Drough Resistance,Salt Tolerance,Bare Root Transplanting ,Required Soil Volumet,Invasiveness,Soil Preference,Light Exposure,Family (English),Family (Botanic),Suggested Frequency of Planting,Size Category,Native or Cultivated
6825,Japanese zelkova,Zelkova serrata,6044,ZESE,30,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.046563,-76.32316255,Non-native,"Japan, Korea, China",Large,Vase-shaped with spreading crown,60-80,50-60,Fast,Little,Seeds are a food source for birds and small mammals,1-3 inches long; elliptical with serrated margins; turns yellow to reddish-brown in fall,Orange,Exfoliating bark with orange-brown patches,"Small, inconspicuous flowers in clusters",Inconspicuous,Not Fragrant,"Small drupes, less than 0.5 inches long",Not Fragrant,Resistant to Dutch elm disease; monitor for pests,Vase-shaped with spreading crown,10,0,0,2,Primarily Wind Pollination,Medium Pollen Production,High,Poor,Moderately Difficult,50,Little,"Moist, well-drained soils",Full sun,Elm,Ulmaceae,Moderately,Large,Non-native
6829,Yellow wood,Coprosma linariifolia,16949,COLI,36,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04650768,-76.32317308,Native,0,Medium,0,30-50,40-50,0,Little,0,0,"Yellow, Copper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poor,Poor,Easy,50,Little,0,0,0,0,Moderately,Medium,Native
6833,Japanese zelkova,Zelkova serrata,6044,ZESE,33,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04644546,-76.32320018,Non-native,"Japan, Korea, China",Large,Vase-shaped with spreading crown,60-80,50-60,Fast,Little,Seeds are a food source for birds and small mammals,1-3 inches long; elliptical with serrated margins; turns yellow to reddish-brown in fall,Orange,Exfoliating bark with orange-brown patches,"Small, inconspicuous flowers in clusters",Inconspicuous,Not Fragrant,"Small drupes, less than 0.5 inches long",Not Fragrant,Resistant to Dutch elm disease; monitor for pests,Vase-shaped with spreading crown,10,0,0,2,Primarily Wind Pollination,Medium Pollen Production,High,Poor,Moderately Difficult,50,Little,"Moist, well-drained soils",Full sun,Elm,Ulmaceae,Moderately,Large,Non-native
6837,Japanese zelkova,Zelkova serrata,6044,ZESE,37,901 BUCHANAN AVE,Poor,Remove,Missing or decayed wood,No,No,No,0,0,,,Tree,NWQ,Park,No,40.0462936,-76.32324667,Non-native,"Japan, Korea, China",Large,Vase-shaped with spreading crown,60-80,50-60,Fast,Little,Seeds are a food source for birds and small mammals,1-3 inches long; elliptical with serrated margins; turns yellow to reddish-brown in fall,Orange,Exfoliating bark with orange-brown patches,"Small, inconspicuous flowers in clusters",Inconspicuous,Not Fragrant,"Small drupes, less than 0.5 inches long",Not Fragrant,Resistant to Dutch elm disease; monitor for pests,Vase-shaped with spreading crown,10,0,0,2,Primarily Wind Pollination,Medium Pollen Production,High,Poor,Moderately Difficult,50,Little,"Moist, well-drained soils",Full sun,Elm,Ulmaceae,Moderately,Large,Non-native
6841,Japanese zelkova,Zelkova serrata,6044,ZESE,29,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04621147,-76.32328601,Non-native,"Japan, Korea, China",Large,Vase-shaped with spreading crown,60-80,50-60,Fast,Little,Seeds are a food source for birds and small mammals,1-3 inches long; elliptical with serrated margins; turns yellow to reddish-brown in fall,Orange,Exfoliating bark with orange-brown patches,"Small, inconspicuous flowers in clusters",Inconspicuous,Not Fragrant,"Small drupes, less than 0.5 inches long",Not Fragrant,Resistant to Dutch elm disease; monitor for pests,Vase-shaped with spreading crown,10,0,0,2,Primarily Wind Pollination,Medium Pollen Production,High,Poor,Moderately Difficult,50,Little,"Moist, well-drained soils",Full sun,Elm,Ulmaceae,Moderately,Large,Non-native
6845,Yellow wood,Coprosma linariifolia,16949,COLI,32,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04612934,-76.32330747,Native,0,Medium,0,30-50,40-50,0,Little,0,0,"Yellow, Copper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poor,Poor,Easy,50,Little,0,0,0,0,Moderately,Medium,Native
6850,Yellow wood,Coprosma linariifolia,16949,COLI,37,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04601025,-76.32334502,Native,0,Medium,0,30-50,40-50,0,Little,0,0,"Yellow, Copper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poor,Poor,Easy,50,Little,0,0,0,0,Moderately,Medium,Native
6855,Pin oak,Quercus palustris,4952,QUPA,49,901 BUCHANAN AVE,Fair,Prune,Broken and/or hanging branches,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04549938,-76.3235193,nativar,Eastern and Central United States,Large,"Pyramidal when young, oval with age",50-60,12-15,Fast,Little,Acorns are a valuable food source for wildlife,5-7 inches long; 5-7 lobes with bristle tips; deep sinuses,"Red, Copper","Grayish-brown, smooth when young, developing ridges with age",Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 1/2 inch long; shallow cap covers about one-fourth of the nut",Not Fragrant,Susceptible to chlorosis in high pH soils; monitor for pests,"Pyramidal when young, oval with age",8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,Moderate,Moderate,Moderately Difficult,100,Little,"Prefers moist, acidic, well-drained soils; intolerant of high pH soils",Full sun (6 hrs direct light daily),Beech,Fagaceae,Sparingly,Large,nativar
6860,Pin oak,Quercus palustris,4952,QUPA,35,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04542563,-76.32355844,nativar,Eastern and Central United States,Large,"Pyramidal when young, oval with age",50-60,12-15,Fast,Little,Acorns are a valuable food source for wildlife,5-7 inches long; 5-7 lobes with bristle tips; deep sinuses,"Red, Copper","Grayish-brown, smooth when young, developing ridges with age",Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 1/2 inch long; shallow cap covers about one-fourth of the nut",Not Fragrant,Susceptible to chlorosis in high pH soils; monitor for pests,"Pyramidal when young, oval with age",8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,Moderate,Moderate,Moderately Difficult,100,Little,"Prefers moist, acidic, well-drained soils; intolerant of high pH soils",Full sun (6 hrs direct light daily),Beech,Fagaceae,Sparingly,Large,nativar
6864,Pin oak,Quercus palustris,4952,QUPA,41,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04532307,-76.32359156,nativar,Eastern and Central United States,Large,"Pyramidal when young, oval with age",50-60,12-15,Fast,Little,Acorns are a valuable food source for wildlife,5-7 inches long; 5-7 lobes with bristle tips; deep sinuses,"Red, Copper","Grayish-brown, smooth when young, developing ridges with age",Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 1/2 inch long; shallow cap covers about one-fourth of the nut",Not Fragrant,Susceptible to chlorosis in high pH soils; monitor for pests,"Pyramidal when young, oval with age",8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,Moderate,Moderate,Moderately Difficult,100,Little,"Prefers moist, acidic, well-drained soils; intolerant of high pH soils",Full sun (6 hrs direct light daily),Beech,Fagaceae,Sparingly,Large,nativar
6868,Red maple,Acer rubrum,1678,ACRU,21,901 BUCHANAN AVE,Fair,Prune,Broken and/or hanging branches,No,No,No,0,0,SLF,,Tree,NWQ,Park,No,40.04516635,-76.32365327,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6872,Red maple,Acer rubrum,1678,ACRU,39,901 BUCHANAN AVE,Fair,Prune,Broken and/or hanging branches,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04509259,-76.32368037,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6877,Pin oak,Quercus palustris,4952,QUPA,33,901 BUCHANAN AVE,Poor,Remove,Missing or decayed wood,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04493126,-76.32373607,nativar,Eastern and Central United States,Large,"Pyramidal when young, oval with age",50-60,12-15,Fast,Little,Acorns are a valuable food source for wildlife,5-7 inches long; 5-7 lobes with bristle tips; deep sinuses,"Red, Copper","Grayish-brown, smooth when young, developing ridges with age",Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 1/2 inch long; shallow cap covers about one-fourth of the nut",Not Fragrant,Susceptible to chlorosis in high pH soils; monitor for pests,"Pyramidal when young, oval with age",8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,Moderate,Moderate,Moderately Difficult,100,Little,"Prefers moist, acidic, well-drained soils; intolerant of high pH soils",Full sun (6 hrs direct light daily),Beech,Fagaceae,Sparingly,Large,nativar
